name,scale_status,next_action,review_reason,resolution_status,chosen_id,additional_profile_ids_held,chosen_name,orcid,affiliation,member_affiliation,total_works,eq_works,alternatives,project_ids,is_member,cached_profile_path
Ciaran O'Neill,ready,use_cached_profile,,ok_via_works,A5016414995,A5026057829;A5013966743,Ciarán O’Neill,0000-0001-7668-3934,Queen's University Belfast,,306,27,A5074975521=Ciaran O’Neill(1 eq); A5026057829=Ciaran O'Neill(3 eq); A5013966743=Linda O’Neill(2 eq); A5077308157=Stephen O’Neill(1 eq); A5027267415=Brian Patrick O’Neill(1 eq),2013280,0,artefacts/03_works/A5016414995.json
Claire Gudex,ready,use_cached_profile,,ok,A5047944478,,Claire Gudex,0000-0003-3881-9890,University of Southern Denmark,University of Southern Denmark,125,40,,20170400,1,artefacts/03_works/A5047944478.json
Corneliu Bolbocean,ready,use_cached_profile,,ok,A5018646670,A5060530858,Corneliu Bolbocean,0000-0001-5782-1844,John Radcliffe Hospital,,44,12,A5060530858=C Bolbocean(2 eq),1869-SG,0,artefacts/03_works/A5018646670.json
Cynthia L. Gong,ready,use_cached_profile,,ok,A5101451604,,Cynthia L. Gong,0000-0003-0159-1335,Children's Hospital of Los Angeles,,83,9,,328-RA,0,artefacts/03_works/A5101451604.json
Darshini Govindasamy,ready,use_cached_profile,,ok,A5050754442,,Darshini Govindasamy,0000-0001-5984-3588,South African Medical Research Council,,65,2,,144-RA,0,artefacts/03_works/A5050754442.json
David Parkin,ready,use_cached_profile,,ok,A5081956728,A5113714864,David Parkin,0000-0002-9990-8208,,,221,44,A5113714864=David E. Parkin(8 eq); A5062986955=David G. Marrero(18 eq),20170440,1,artefacts/03_works/A5081956728.json
David Whitehurst,ready,use_cached_profile,,ok,A5045933977,,David G. T. Whitehurst,0000-0002-7890-6756,Simon Fraser University,Simon Fraser University,107,46,A5139456769=David G. Whitehurst(1 eq),2016350,1,artefacts/03_works/A5045933977.json
Deborah Marshall,ready,use_cached_profile,,ok,A5049401142,A5007980923,Deborah A. Marshall,0000-0002-8467-8008,University of Calgary,,548,27,A5007980923=Deborah Marshall(3 eq),1752-RA,0,artefacts/03_works/A5049401142.json
Deborah Street,ready,use_cached_profile,,ok,A5053497885,,Deborah J. Street,0000-0002-4476-0656,University of Technology Sydney,University of Technology Sydney,187,21,,20190350,1,artefacts/03_works/A5053497885.json
Des Scott,ready,use_cached_profile,,ok,A5038664789,,Des Scott,0000-0003-3943-7392,University of Cape Town,University of Cape Town,20,15,,2248-TR,1,artefacts/03_works/A5038664789.json
Elena Olariu,ready,use_cached_profile,,ok,A5018887750,,Elena Olariu,0000-0002-8718-5516,Matia Fundazioa,,33,7,,20180030R1,0,artefacts/03_works/A5018887750.json
Eliza Wong,ready,use_cached_profile,,ok,A5033480820,A5053432946,Eliza Lai‐Yi Wong,0000-0001-9983-6219,Department of Health,,373,44,A5053432946=Eliza Mi Ling Wong(6 eq),20180750,0,artefacts/03_works/A5033480820.json
Emelie Heintz,ready,use_cached_profile,,ok,A5052327641,,Emelie Heintz,0000-0002-0715-7591,Stockholm School of Economics,,81,30,,20180760,0,artefacts/03_works/A5052327641.json
Eri Hoshino,ready,use_cached_profile,,ok,A5068533812,,Eri Hoshino,0000-0003-2308-2048,National Center For Child Health and Development,,77,4,,2085-VS,0,artefacts/03_works/A5068533812.json
Erwin Birnie,ready,use_cached_profile,,ok,A5023843843,,Erwin Birnie,0000-0002-4534-4857,University Medical Center Groningen,,341,31,,20200060,0,artefacts/03_works/A5023843843.json
Eszter Szlávicz,ready,use_cached_profile,,ok,A5086041403,,Eszter Szlávicz,0000-0002-1083-0994,Veszprémi Érseki Hittudományi Fõiskola,,33,1,,2400-RA,0,artefacts/03_works/A5086041403.json
Gerkens Sophie,ready,use_cached_profile,,ok,A5063513647,,Sophie Gerkens,0000-0001-6211-3471,Belgian Health Care Knowledge Centre (KCE),,154,4,,20170491,0,artefacts/03_works/A5063513647.json
Girma Tekle Gebremariam,ready,use_cached_profile,,ok,A5008650274,,Girma Tekle Gebremariam,0000-0002-2747-7955,Addis Ababa University,,22,10,,343-RA,0,artefacts/03_works/A5008650274.json
Hannah Hussain,ready,use_cached_profile,,ok,A5015275165,,Hannah Hussain,0009-0002-5645-184X,Office Of Health Economics,,12,5,,1967-RA,0,artefacts/03_works/A5015275165.json
Helen Harcombe,ready,use_cached_profile,,ok,A5081829233,,Helen Harcombe,0000-0002-2612-1789,University of Otago,,56,2,,2015160,0,artefacts/03_works/A5081829233.json
Hesam Ghiasvand,ready,use_cached_profile,,ok,A5011771775,,Hesam Ghiasvand,0000-0002-3110-6954,University of Warwick,,60,1,,2423-BT,0,artefacts/03_works/A5011771775.json
Hilton Lam,ready,use_cached_profile,,ok,A5071601943,,Hilton Y. Lam,0000-0003-4042-5997,University of the Philippines Manila,,104,6,,20170230,0,artefacts/03_works/A5071601943.json
Hsiang-Wen Lin,ready,use_cached_profile,,ok,A5003956817,A5100874069,Hsiang‐Wen Lin,0000-0002-6771-6746,China Medical University,,68,13,A5100874069=Hsiang-Wen Lin(4 eq); A5108671876=Hsiang-Wen Lin(1 eq),2016440,0,artefacts/03_works/A5003956817.json
Ilan Koppen,ready,use_cached_profile,,ok,A5031557006,,Ilan J.N. Koppen,0000-0002-1856-0968,Emma Kinderziekenhuis,,98,5,,1468-RA,0,artefacts/03_works/A5031557006.json
Ilias Goranitis,ready,use_cached_profile,,ok,A5023451391,,Ilias Goranitis,0000-0001-7946-8324,The University of Melbourne,,153,14,,454-RA,0,artefacts/03_works/A5023451391.json
Iwan van der Horst,ready,use_cached_profile,,ok,A5024802434,,Iwan C.C. van der Horst,0000-0003-3891-8522,Cardiovascular Institute Hospital,,342,11,A5109996343=Iwan C. van der Horst(1 eq); A5109591436=Iwan van der Horst(1 eq); A5104342410=Iwan C. C. van der Horst(1 eq),1539-SG,0,artefacts/03_works/A5024802434.json
Jan Henrik Terheyden,ready,use_cached_profile,,ok,A5069023369,,Jan Henrik Terheyden,0000-0002-0174-4066,University of Bonn,,97,3,,2357-BT,0,artefacts/03_works/A5069023369.json
Jan Verhaar,ready,use_cached_profile,,ok,A5035697100,,Jan A.N. Verhaar,0000-0003-3016-9600,Erasmus MC,,575,11,,200-RA,0,artefacts/03_works/A5035697100.json
Janine van Til,ready,use_cached_profile,,ok,A5070605387,,Janine A. van Til,0000-0002-5416-5893,University of Twente,,135,3,,285-PHD,0,artefacts/03_works/A5070605387.json
Jenny Downs,ready,use_cached_profile,,ok,A5045593878,,Jenny Downs,0000-0001-7358-9037,The Kids Research Institute Australia,,334,11,,429-RA,0,artefacts/03_works/A5045593878.json
Jeremy Dietz,ready,use_cached_profile,,ok,A5078556304,,Jeremy Dietz,,National Institute for Health and Care Excellence,,6,1,A5123048171=Jeremy Dietz(1 eq),1879-EO,0,artefacts/03_works/A5078556304.json
Jermaine Dambi,ready,use_cached_profile,,ok,A5081348197,,Jermaine M. Dambi,0000-0002-2446-7903,University of Zimbabwe,,81,18,A5048329641=Jermaine Matewu Dambi(1 eq),212-RA,0,artefacts/03_works/A5081348197.json
Jeshika Singh,ready,use_cached_profile,,ok,A5036902866,,Jeshika Singh,0000-0003-3321-5481,Daiichi Sankyo (United States),,30,9,,2015390,0,artefacts/03_works/A5036902866.json
Jiabi Wen,ready,use_cached_profile,,ok,A5001767251,,Jiabi Wen,0000-0001-9579-9625,University of Alberta,,13,6,,2288-EO,0,artefacts/03_works/A5001767251.json
Jiyoung Park,ready,use_cached_profile,,ok_via_works,A5100409602,A5004062042;A5083008074,Jiyoung Park,0000-0003-1374-9187,,,,6,A5004062042=Hyeung-Keun Park(3 eq); A5083008074=Young-Kwon Park(3 eq); A5079480739=Danbee Park(1 eq); A5011904557=Chongwon Park(1 eq); A5101847622=Myungsook Park(1 eq); A5016509472=Hee‐Won Park(1 eq); A5012306986=Hue Jung Park(1 eq); A5067451446=Chun Wook Park(1 eq); A5080320128=Chul Jong Park(1 eq); A5080097273=Hai‐Jin Park(1 eq); A5070659323=Jiyoung Park(1 eq); A5068610788=Chaehyun Park(1 eq),2450-RA,0,artefacts/03_works/A5100409602.json
John Yfantopoulos,ready,use_cached_profile,,ok,A5050078092,,John Yfantopoulos,0000-0003-0424-6887,National and Kapodistrian University of Athens,University of Athens,125,26,,1710-VS,1,artefacts/03_works/A5050078092.json
Jose Luis Pinto-Prades,ready,use_cached_profile,,ok,A5017788431,,José Luis Pinto Prades,0000-0002-9684-3410,Universidad de Navarra,,171,22,,2015210,0,artefacts/03_works/A5017788431.json
Josephine Walker,ready,use_cached_profile,,ok,A5038317615,,Josephine G. Walker,0000-0002-9732-5738,At Bristol,,164,5,,1732-VS,0,artefacts/03_works/A5038317615.json
Juan Pedro Alonso,ready,use_cached_profile,,ok_via_works,A5109481311,,María del Mar Alonso Montejo,,,,,2,A5111943550=Juan Carlos Torre‐Alonso(1 eq); A5082257111=Mónica Alonso-Martín(1 eq); A5093199173=Rafael Alonso-Valente(1 eq); A5018990701=Ma José Catalán Alonso(1 eq); A5072403243=Javier Blasco‐Alonso(1 eq); A5093481784=Natalia Alonso‐Pérez(1 eq); A5056614217=José Ramón Alberto‐Alonso(1 eq); A5093481794=Pedro Alonso‐López(1 eq); A5079030463=Rafael Alonso Valente(1 eq); A5102667392=Alonso R. Valente(1 eq),2592-RA,0,artefacts/03_works/A5109481311.json
Judith Bosmans,ready,use_cached_profile,,ok,A5016039203,,Judith E. Bosmans,0000-0002-1443-1026,Department of Health,,377,54,,71-RA,0,artefacts/03_works/A5016039203.json
Julie Ratcliffe,ready,use_cached_profile,,ok,A5070505553,,Julie Ratcliffe,0000-0001-7365-1988,Flinders University,,507,140,A5103150407=Julie Ratcliffe(1 eq),194-RA,0,artefacts/03_works/A5070505553.json
Juntana Pattanaphesaj,ready,use_cached_profile,,ok,A5040546783,,Juntana Pattanaphesaj,0000-0003-1426-6777,Ministry of Public Health,,9,5,,2013030,0,artefacts/03_works/A5040546783.json
KM Vermeulen,ready,use_cached_profile,,ok,A5110324582,,KM Vermeulen,,University Medical Center Groningen,,4,1,A5093753904=Vermeulen KM(1 eq),2016700,0,artefacts/03_works/A5110324582.json
Katie Page,ready,use_cached_profile,,ok,A5103147397,,Karen Page,0000-0001-9183-9175,University of Technology Sydney,,276,3,A5055703081=Katie Page(1 eq),20180301,0,artefacts/03_works/A5103147397.json
Katie Spencer,ready,use_cached_profile,,ok,A5073760994,,Katie Spencer,0000-0002-6846-4341,University of Leeds,,89,1,,20180670,0,artefacts/03_works/A5073760994.json
Kelly de Ligt,ready,use_cached_profile,,ok,A5000687889,A5085064498,Kelly M. de Ligt,0000-0001-9218-617X,Tilburg University,,68,23,A5114124402=Kelly de Ligt(1 eq); A5085064498=K. de Ligt(2 eq),2317-RA,0,artefacts/03_works/A5000687889.json
Kidu Gidey,ready,use_cached_profile,,ok,A5040157120,,Kidu Gidey,0000-0002-7363-1327,Mekelle University,,40,2,,1627-RA,0,artefacts/03_works/A5040157120.json
Klas Goran Sahlen,ready,use_cached_profile,,ok,A5069574274,,Klas-Göran Sahlèn,0000-0002-3975-4868,,,71,13,,20180770,0,artefacts/03_works/A5069574274.json
Knut Stavem,ready,use_cached_profile,,ok,A5033845511,,Knut Stavem,0000-0003-4512-8000,University of Oslo,Akershus University Hospital,287,66,,1816-RA,1,artefacts/03_works/A5033845511.json
Kompal Sinha,ready,use_cached_profile,,ok,A5026880787,,Kompal Sinha,0000-0003-4318-6100,International Labour Organization,,93,6,,430-RA,0,artefacts/03_works/A5026880787.json
Kristina Burström,ready,use_cached_profile,,ok,A5005862614,,Kristina Burström,0000-0001-9996-4317,Karolinska Institutet,,89,60,,2016480,0,artefacts/03_works/A5005862614.json
Kristina Ludwig,ready,use_cached_profile,,ok,A5035184665,,Kristina Ludwig,0000-0002-4306-4667,Bielefeld University,"(1) Department of Health Economics & Health Care Management, School of Public Health, Bielefeld University, Germany; (2) EuroQol Research Foundation",46,28,A5106693152=Ludwig Kristina(1 eq),1762-RA,1,artefacts/03_works/A5035184665.json
Lars Ehlers,ready,use_cached_profile,,ok,A5054828864,,Lars Holger Ehlers,0000-0001-6512-5566,Nordic School of Public Health,,310,26,,20170401,0,artefacts/03_works/A5054828864.json
Lina Maria Serna Higuita,ready,use_cached_profile,,ok,A5022647682,,Lina María Serna-­Higuita,0000-0001-5182-8295,Institute for Medical Informatics and Biostatistics,,228,4,,2338-RA,0,artefacts/03_works/A5022647682.json
Luis Rajmil,ready,use_cached_profile,,ok,A5000326162,,Luís Rajmil,0000-0002-6625-0649,Agencia de Salud Pública de Barcelona,,211,66,,2016490,0,artefacts/03_works/A5000326162.json
Malin Regardt,ready,use_cached_profile,,ok,A5010406225,A5085481794,Malin Regardt,0000-0002-1908-5708,Karolinska University Hospital,,57,21,A5085481794=M Regardt(3 eq); A5137968190=Malin Regardt(1 eq); A5143489809=Malin Regardt(1 eq),352-RA,0,artefacts/03_works/A5010406225.json
Margreet Franken,ready,use_cached_profile,,ok,A5089696059,,M Franken,0000-0003-4207-510X,Radboud University Nijmegen,,104,9,,196-RA,0,artefacts/03_works/A5089696059.json
Mark Sculpher,ready,use_cached_profile,,ok,A5060049178,A5129518673,Mark Sculpher,0000-0003-3746-9913,University of York,,641,90,A5129518673=Mark Sculpher(2 eq),20180710,0,artefacts/03_works/A5060049178.json
Martijn Doeleman,ready,use_cached_profile,,ok,A5038383689,,Martijn J. H. Doeleman,0000-0003-4786-4108,Utrecht University,,13,2,,2101-EO,0,artefacts/03_works/A5038383689.json
Martin Härter,ready,use_cached_profile,,ok,A5048738092,,Martin Härter,0000-0001-7443-9890,Universität Hamburg,,856,24,,1719-RA,0,artefacts/03_works/A5048738092.json
Maureen Rutten-van Molken,ready,use_cached_profile,,ok,A5010272673,A5121515935,Maureen Rutten‐van Mölken,0000-0001-8706-3159,Erasmus University Rotterdam,,478,60,A5121515935=Maureen Rutten-van Mölken(2 eq),2015020,0,artefacts/03_works/A5010272673.json
Meixia Liao,ready,use_cached_profile,,ok,A5079423723,,Meixia Liao,0000-0001-7859-3684,National University of Singapore,,17,8,,1979-EO,0,artefacts/03_works/A5079423723.json
Min-Joo Woo,ready,use_cached_profile,,ok_via_works,A5028665396,A5101624294;A5024260821;A5083043316;A5053689286;A5100452176,Woo‐Jung Song,0000-0002-4630-9922,,,,4,A5101624294=Jae‐Woo Jung(3 eq); A5024260821=Jae‐Woo Kwon(3 eq); A5083043316=Woo‐Kie Min(2 eq); A5053689286=Woo Kyung Kim(2 eq); A5100452176=Sang Woo Kim(2 eq); A5087392818=Min Woo Woo(1 eq); A5052219459=Cheol Woo Ko(1 eq); A5049488372=Jin-Woo Han(1 eq); A5090604870=Jong‐Min Woo(1 eq); A5043314694=Ro Woo Lee(1 eq); A5089346856=Yu Ri Woo(1 eq); A5033724239=Heung‐Woo Park(1 eq); A5005485828=Kun Woo Park(1 eq); A5100742649=Jae Woo Kim(1 eq); A5102811811=Cheol-Woo Kim(1 eq); A5077513339=Young-Min Ye(1 eq); A5101923707=Joohee Kim(1 eq),2013020,0,artefacts/03_works/A5028665396.json
Nyantara Wickramasekera,ready,use_cached_profile,,ok,A5077076014,,Nyantara Wickramasekera,0000-0002-6552-5153,University of Sheffield,,58,4,,2102-RA,0,artefacts/03_works/A5077076014.json
Oriana Ciani,ready,use_cached_profile,,ok,A5008052793,,Oriana Ciani,0000-0002-3607-0508,University of Exeter,,259,28,,316-EO,0,artefacts/03_works/A5008052793.json
Paul Krabbe,ready,use_cached_profile,,ok,A5061371202,,Paul F. M. Krabbe,0000-0001-6042-1243,University Medical Center Groningen,University Medical Center Groningen,266,89,A5088926761=Krabbe Paul(1 eq),2014150,1,artefacts/03_works/A5061371202.json
Pedro Ferreira,ready,use_cached_profile,,ok,A5048178253,A5100602883,Pedro Lopes Ferreira,0000-0002-9448-9542,University of Lisbon,,349,53,A5100602883=João Pedro Ferreira(13 eq),2015110,0,artefacts/03_works/A5048178253.json
Piyameth Dilokthornsakul,ready,use_cached_profile,,ok,A5013970219,,Piyameth Dilokthornsakul,0000-0002-6981-1771,Nakornping Hospital,,176,11,,1982-VS,0,artefacts/03_works/A5013970219.json
Prudence Cheung,ready,use_cached_profile,,ok,A5011025629,A5129501642,Prudence Wing Hang Cheung,0000-0002-3213-7373,University of Hong Kong,,117,32,A5129501642=Prudence Cheung(4 eq),1808-RA,0,artefacts/03_works/A5011025629.json
Rebecca Addo,ready,use_cached_profile,,ok,A5005424373,,Rebecca Addo,0000-0002-5970-1122,University of Technology Sydney,,29,6,,1899-RA,0,artefacts/03_works/A5005424373.json
Sarega Gurudas,ready,use_cached_profile,,ok,A5067968462,,Sarega Gurudas,0000-0002-2656-0570,Moorfields Eye Hospital NHS Foundation Trust,,46,1,,2139-RA,0,artefacts/03_works/A5067968462.json
Sayem Ahmed,ready,use_cached_profile,,ok,A5011474576,,Sayem Ahmed,0000-0001-9499-1500,Department of Health and Social Care,,227,11,,2202-VS,0,artefacts/03_works/A5011474576.json
Seungjin Bae,ready,use_cached_profile,,ok,A5038405248,,SeungJin Bae,0000-0002-8993-8884,Ewha Womans University,,117,1,,2510-VS,0,artefacts/03_works/A5038405248.json
Simone Schieskow,ready,use_cached_profile,,ok,A5117152200,,Simone Schieskow,,Bielefeld University,"Bielefeld University, School of Public Health, Department of Health Economics and Health Care Management",4,3,,20180450,1,artefacts/03_works/A5117152200.json
Soumana Chamoun Nasser,ready,use_cached_profile,,ok,A5029600163,,Soumana C. Nasser,0000-0003-4202-7116,Lebanese American University,,38,5,,2585-RA,0,artefacts/03_works/A5029600163.json
Stella Heemskerk,ready,use_cached_profile,,ok,A5025807986,,Stella C M Heemskerk,0000-0002-1320-8084,Erasmus MC,,13,6,A5128901318=Stella C.M. Heemskerk(1 eq); A5140912878=Stella C.M. Heemskerk(1 eq),2638-RA,0,artefacts/03_works/A5025807986.json
Stephen Coons,ready,use_cached_profile,,ok,A5052220528,A5109900536,Stephen Joel Coons,0000-0001-7977-5156,Critical Path Institute,,203,47,A5109900536=Stephen Joel Coons(2 eq),2014180,0,artefacts/03_works/A5052220528.json
Sun Sun,ready,use_cached_profile,,ok_via_works,A5081188742,A5101892958,Sun Sun,0000-0001-5948-3025,,Parexel/Umeå University,,10,A5101892958=Sun Wook Kim(2 eq); A5100953230=Kui Sun(1 eq); A5068381333=In‐Sun Kwon(1 eq); A5007163195=Sun‐Seog Kweon(1 eq); A5067331756=Hongpeng Sun(1 eq); A5044140980=Xiaojie Sun(1 eq); A5027471073=Peng-ran Sun(1 eq); A5020991724=Shawn X. Sun(1 eq); A5102019997=Shumei S. Sun(1 eq); A5080077644=Yiyuan Sun(1 eq); A5102936644=Xibin Sun(1 eq); A5100702983=He Sun(1 eq); A5101603075=Yanping Sun(1 eq); A5079581260=Li‐Min Sun(1 eq); A5016760346=Ling Sun(1 eq),1561-RA,1,artefacts/03_works/A5081188742.json
Taavi Lai,ready,use_cached_profile,,ok,A5109074641,,Taavi Lai,,The Fourth People's Hospital,,46,1,,2602-SG,0,artefacts/03_works/A5109074641.json
Teresa Tsui,ready,use_cached_profile,,ok,A5089652474,,Teresa Tsui,0000-0002-9806-9393,Sunnybrook Health Science Centre,,17,5,,1456-PD,0,artefacts/03_works/A5089652474.json
Tomos Robinson,ready,use_cached_profile,,ok,A5048830550,,Tomos Robinson,0000-0001-8695-9738,St Nicholas Hospital,,63,7,,2196-RA,0,artefacts/03_works/A5048830550.json
Ulrike Ravens-Sieberer,ready,use_cached_profile,,ok,A5049804622,A5059696988,Ulrike Ravens‐Sieberer,0000-0002-2031-095X,Universität Hamburg,University Medical Center Hamburg-Eppendorf,462,131,A5036898038=U. Ravens-Sieberer(1 eq); A5059696988=Ulrike Ravens Sieberer(2 eq),2016270,1,artefacts/03_works/A5049804622.json
Vincent Lau,ready,use_cached_profile,,ok,A5022213392,,Vincent Lau,0000-0002-9939-7348,Alberta Health Services,,74,2,A5058547242=K. H. Vincent Lau(1 eq),299-RA,0,artefacts/03_works/A5022213392.json
Willem van Veghel,ready,use_cached_profile,,ok,A5003208889,,Willem H. P. van Veghel,,Sint Franciscus Gasthuis,,2,1,,1584-SG,0,artefacts/03_works/A5003208889.json
Yap Xin Yi,ready,use_cached_profile,,ok,A5058382403,,Yajun Yi,0000-0002-7135-6325,Beijing Children’s Hospital,,79,1,,2290-EO,0,artefacts/03_works/A5058382403.json
Yifan Ding,ready,use_cached_profile,,ok_via_works,A5076822287,,Yifan Ding,0009-0006-8112-628X,,,,5,A5061534385=Wei Ding(1 eq),2188-TVG,0,artefacts/03_works/A5076822287.json
Yirga Legesse Niriayo,ready,use_cached_profile,,ok,A5025678242,,Yirga Legesse Niriayo,0000-0002-6943-753X,Mekelle University,,28,1,,2563-RA,0,artefacts/03_works/A5025678242.json
thomas kohlmann,ready,use_cached_profile,,ok,A5031953969,,Thomas Kohlmann,0000-0002-5956-8309,Universitätsmedizin Greifswald,University of Greifswald,430,67,,20170130,1,artefacts/03_works/A5031953969.json
Ataru Igarashi,ready,use_cached_profile,,ok,A5071771037,,Ataru Igarashi,0000-0001-6307-6916,University of Tokyo Health Sciences,The University of Tokyo,371,52,A5073828554=A Igarashi(1 eq),,1,artefacts/03_works/A5071771037.json
Barbara Spady,ready,use_cached_profile,,ok_via_works,A5032609556,,Barbara Conner‐Spady,0000-0001-5674-4795,University of Calgary,University of Calgary,63,17,,,1,artefacts/03_works/A5032609556.json
Caitlyn Solem,ready,use_cached_profile,,ok,A5090387330,,Caitlyn T. Solem,,GlaxoSmithKline (United States),GSK,121,25,,,1,artefacts/03_works/A5090387330.json
Erica Lubetkin,ready,use_cached_profile,,ok,A5037314317,,Erica I. Lubetkin,0000-0001-9962-7775,CUNY School of Law,City University of New York School of Medicine,94,46,A5136506788=Erica Lubetkin(1 eq); A5138147876=Erica I. Lubetkin(1 eq),,1,artefacts/03_works/A5037314317.json
Ernest Law,ready,use_cached_profile,,ok,A5040405517,,Ernest H. Law,0000-0002-6111-8008,Pfizer (United States),Pfizer,126,21,,,1,artefacts/03_works/A5040405517.json
Fan Yang,ready,use_cached_profile,,ok_via_works,A5056976700,A5074244556;A5006311711;A5028809099,Fan Yang,0000-0003-4689-265X,,Analysis Group,,9,A5074244556=Wanting Yang(3 eq); A5006311711=Xiaofei Fan(3 eq); A5028809099=Zhihao Yang(2 eq); A5101540097=Xiao Yang(1 eq); A5072203049=Dazhi Fan(1 eq); A5101640116=Xue Yang(1 eq); A5050065410=Bin Yang(1 eq); A5040528059=Fengyan Fan(1 eq); A5085516779=Lei Yang(1 eq); A5059784345=Yang Cao(1 eq); A5037500856=Li Yang(1 eq); A5100532253=Wenyi Fan(1 eq); A5101040799=Yang-Chih Lin(1 eq); A5112634380=Kuo-Chia Yang(1 eq); A5100397590=Yang Yang(1 eq); A5078136185=Shengnuo Fan(1 eq); A5050534760=Zhao‐hui Yang(1 eq); A5063850097=Yang-Fan Chen(1 eq); A5100719711=Fan Yang(1 eq); A5100591300=Jingzhi Fan(1 eq); A5065665543=Zihao Fan(1 eq); A5040315632=Xiaoang Yang(1 eq); A5111264511=Qiulan Yang(1 eq); A5100712124=Yuying Fan(1 eq); A5023793312=Rong Fan(1 eq); A5059187721=Litao Yang(1 eq),,1,artefacts/03_works/A5056976700.json
Harri Sintonen,ready,use_cached_profile,,ok,A5032927955,A5109039017,Harri Sintonen,0000-0003-1252-0946,University of Helsinki,University of Helsinki/Department of Public Health,488,291,A5109039017=Sintonen Harri(3 eq); A5091222738=H Sintonen(1 eq); A5070129016=Harri Sintonen P x E ivi Vaara(1 eq),,1,artefacts/03_works/A5032927955.json
James Shaw,ready,use_cached_profile,,ok,A5055862397,A5091413872,James W. Shaw,0000-0002-7019-3720,Bristol-Myers Squibb (United States),Takeda Pharmaceuticals,156,45,A5091413872=James Shaw(5 eq),,1,artefacts/03_works/A5055862397.json
Juan Cabasés,ready,use_cached_profile,,ok,A5039017875,,Juan Manuel Cabasés Hita,0000-0003-0207-4137,Universidad de Navarra,"Department of Economics, Universidad Pública de Navarra",141,31,A5141830454=Juan Cabases(1 eq),,1,artefacts/03_works/A5039017875.json
Kristina Secnik Boye,ready,use_cached_profile,,ok,A5039006946,,Kristina S. Boye,0000-0002-5953-5929,Eli Lilly (United States),Eli Lilly and Company,243,41,,,1,artefacts/03_works/A5039006946.json
Leida Lamers,ready,use_cached_profile,,ok,A5091647381,,Leida M. Lamers,,Institut für Forschung und Transfer,"Ministry of Health, Welfare and Sports",51,11,,,1,artefacts/03_works/A5091647381.json
Liv Ariane Augestad,ready,use_cached_profile,,ok,A5054297438,,Liv Ariane Augestad,0000-0003-3330-5081,University of Oslo,University of Oslo,31,23,,,1,artefacts/03_works/A5054297438.json
Min-Woo Jo,ready,use_cached_profile,,ok,A5015763173,,Min‐Woo Jo,0000-0002-4574-1318,Ulsan College,"Department of Preventive Medicine, University of Ulsan College of Medicine",231,79,A5112107115=Min Woo Jo(1 eq); A5112212980=Min-Woo Jo(1 eq),,1,artefacts/03_works/A5015763173.json
Márta Péntek,ready,use_cached_profile,,ok,A5064557440,A5031376763;A5124456882,Márta Péntek,0000-0001-9636-6012,Obuda University,Obuda University,349,125,A5031376763=Márta Péntek(3 eq); A5056245079=M Péntek(1 eq); A5124456882=Márta Péntek(2 eq); A5138970384=Márta Péntek(1 eq),,1,artefacts/03_works/A5064557440.json
Rachel Tan,ready,use_cached_profile,,ok,A5047279366,,Rachel Lee-Yin Tan,0000-0002-4610-1195,,IQVIA,37,21,,,1,artefacts/03_works/A5047279366.json
Richard Brooks,ready,use_cached_profile,,ok,A5112107099,A5016131855,Richard Brooks,,Guiyang Medical University,Retirement Association,66,22,A5016131855=Richard R. Brooks(2 eq),,1,artefacts/03_works/A5112107099.json
Ruixuan Jiang,ready,use_cached_profile,,ok,A5049026946,,Ruixuan Jiang,0000-0003-1737-2989,"Merck & Co., Inc., Rahway, NJ, USA (United States)","Merck & Co., Inc.,",58,19,,,1,artefacts/03_works/A5049026946.json
