registry_id	alias	use_type
method:quota-sampling	Quota-based sampling with respect to age, sex, educational level, and employment status	Method
method:quota-sampling	quotas combined with a targeted recruitment strategy via an online panel	Method
method:quota-sampling	Quotas to obtain a representative sample in relation to age, gender, and ethnicity	Method
method:quota-sampling	recruitment of a representative sample by a survey panel company (age, gender, education quotas)	Method
method:quota-sampling	recruitment through an online panel vendor with 18 demographic quotas	Method
method:quota-sampling	Recruitment via Accent Market Research with quotas for gender, age and parental status	Method
method:quota-sampling	recruitment via Prolific with gender balance and age-category quotas	Method
method:quota-sampling	stratified quota sampling	Method
method:quota-sampling	SurveyEngine panel recruitment with nationally representative quotas on gender and age	Method
method:r129-p001-adapted-lipman-validation-task	adaptation of the validation task developed by Lipman et al. (2020a)	Method
method:r129-p001-adapted-lipman-validation-task	validation task (adaptation of Lipman et al., 2020a)	Method
method:r129-p014-descriptive-statistics-bundle	Mean (standard deviation), median, mode, minimum and maximum	Method
method:r129-p018-researcher-advisor-consultation	presentations and discussion with researchers and advisors associated with the ‘Extending the QALY’ project	Method
method:r129-p038-demographic-quota-sampling	18 demographic quotas based on gender, age, and race/ethnicity	Method
method:r129-p038-demographic-quota-sampling	Demographic quota sampling (18 quotas by gender, age and race/ethnicity) via the Dynata online panel	Method
method:r129-p064-5l-3l-responsiveness-ratio	5L/3L ratio of the SRM and SES statistics	Method
method:r129-p064-5l-3l-responsiveness-ratio	relative efficiency (5L/3L ratio of the SRM and SES statistics)	Method
method:r129-p110-household-selection	Streets were randomly selected from CSO maps and 1 in every 4 houses visited; respondents were selected based on the most recent birthday method	Method
method:r129-p110-panel-recruitment-email	Recruitment of survey company panel members by e-mailed survey links	Method
method:r129-p110-panel-recruitment-email	Survey company panel recruitment by survey links via e-mail	Method
method:r129-p110-panel-recruitment-public-places	Survey company panel recruitment by online links, with recruiters in public places	Method
method:r129-p110-panel-recruitment-public-places	Survey company panel recruitment with online survey links plus recruiters in public places using laptops and tablets	Method
method:r129-p129-dimension-score-frequency	distribution of frequency of dimension scores across patient care groups	Method
method:random-walk-sampling	random walk procedure	Method
method:ranking-task	Card ranking exercise	Method
method:ranking-task	card ranking exercise	Method
method:ranking-task	dimension ranking task (ranking of the five EQ-5D dimensions)	Method
method:ranking-task	online card ranking exercise for frequency response options	Method
method:ranking-task	Ranking exercise (additional translation method for EQ-5D youth)	Method
method:ranking-task	Ranking exercise for severity qualifiers [15]	Method
method:ranking-task	ranking of health states	Method
method:ranking-task	ranking task (the ranking and sorting approach)	Method
method:ranking-task	ranking task of EQ-5D level 1 descriptors	Method
method:ranking-task	ranking task of the 10 dimension-level descriptors	Method
method:rao-wu-bootstrap	Rao-Wu bootstrap with 1000 replications	Method
method:rasch-analysis	Rasch analysis (Infit and Outfit mean square statistics, person separation reliability, Person-Item map)	Method
method:relative-attribute-importance-calculation	calculation of the relative importance of dimensions and levels	Method
method:relative-attribute-importance-calculation	Profile-based normalization of coefficients (relative attribute importance)	Method
method:relative-attribute-importance-calculation	Relative attribute importance (RAI) score calculation	Method
method:relative-attribute-importance-calculation	relative attribute importance (RAI) scores	Method
method:relative-attribute-importance-calculation	relative attribute importance (RAI) scores with attribute-based normalization	Method
method:relative-attribute-importance-calculation	relative attribute importance scores (dimension utility range divided by total utility range)	Method
method:relative-attribute-importance-calculation	Relative importance (RI) score calculation (Equation 3)	Method
method:relative-attribute-importance-calculation	Relative importance of dimensions (sum of a dimension's coefficients divided by the sum of all coefficients)	Method
method:relative-efficiency-analysis	relative efficiency (F statistic ratio, 5L/3L)	Method
method:relative-efficiency-analysis	Relative efficiency (RE) statistic	Method
method:repeated-measures-anova	Repeated measures analysis of variance	Method
method:rescaled-level-sum-score	Level-sum-score (LSS) severity coding, rescaled as LSSr	Method
method:response-scaling-tasks	Descriptive statistics (mean, standard deviation, median, mode, minimum, maximum) of sorting and response scaling data	Method
method:response-scaling-tasks	Pilot test of the sorting and response scaling tasks before application to the full sample	Method
method:response-scaling-tasks	Rating exercise (rating of in-between qualifiers on a scale of 0 to 100)	Method
method:response-scaling-tasks	Response scaling	Method
method:restricted-maximum-likelihood	Restricted maximum likelihood method	Method
method:retrospective-think-aloud	Retrospective think-aloud technique	Method
method:retrospective-think-aloud	retrospective think-aloud techniques	Method
method:roc-curve-analysis	Area under the receiver operating characteristic curve (AUROC)	Method
method:roc-curve-analysis	Area Under the Receiver Operating Characteristic curve (AUROC) analysis, parametric method (smoothing)	Method
method:roc-curve-analysis	area under the receiver-operating characteristics curve (AUROC)	Method
method:roc-curve-analysis	Non-parametric AUROC method	Method
method:roc-curve-analysis	receiver operating characteristic (ROC) curve	Method
method:roc-curve-analysis	Receiver operating characteristic (ROC) curve with area under the curve (AUC)	Method
method:roc-curve-analysis	receiver operating characteristic curves and area under the curve assessments	Method
method:sankey-diagram	Sankey diagrams	Method
method:sankey-diagram	Sankey plots	Method
method:scale-adjusted-class-share	Scale-adjusted class share (SACS)	Method
method:scatterplot	Scatterplots	Method
method:scatterplot	scatterplots of predicted values for all 3125 EQ-5D-5L health states	Method
method:scheffe-post-hoc-test	Scheffe's post hoc comparisons	Method
method:schoenfeld-residuals-test	Schoenfeld residuals test of the proportional hazards assumption	Method
method:scoping-review	Scoping literature review	Method
method:scoping-review	scoping literature review	Method
method:self-administered-survey	Self-administered paper and pencil survey	Method
method:semi-structured-focus-group	Focus groups with a semi-structured topic guide	Method
method:semi-structured-focus-group	Qualitative semi-structured virtual focus group consultation	Method
method:semi-structured-focus-group	Semi-structured focus group guide	Method
method:semi-structured-focus-group	Semi-structured focus groups with a topic guide	Method
method:semi-structured-interview	Face-to-face, in-depth interviews with a semi-structured interview guide	Method
method:semi-structured-interview	Individual semi-structured interviews	Method
method:semi-structured-interview	semi-structured health interviews	Method
method:semi-structured-interview	Semi-structured health interviews with topic guide (individual and group/focus-group format)	Method
method:semi-structured-interview	semi-structured interview guide (Supplement 1)	Method
method:semi-structured-interview	Semi-structured interview guide with four thematic sections (open-ended questions)	Method
method:semi-structured-interview	semi-structured interview questions following the topic guide developed for this study	Method
method:semi-structured-interview	Semi-structured interviewer probing prompts	Method
method:semi-structured-interview	semi-structured interviews	Method
method:semi-structured-interview	semi-structured interviews (beta testing)	Method
method:semi-structured-interview	Semi-structured interviews following a topic guide, audio recorded	Method
method:semi-structured-interview	semi-structured interviews following an interview guide	Method
method:semi-structured-interview	Semi-structured interviews using an interview guide (Table S1)	Method
method:semi-structured-interview	semi-structured interviews with two interviewers (two-on-one), recorded and transcribed verbatim	Method
method:semi-structured-interview	Semi-structured one-on-one in-person interviews with an interview guide	Method
method:semi-structured-interview	Semi-structured qualitative interviews using a pre-developed script	Method
method:semi-structured-interview	Semi-structured roundtable discussion around prespecified questions with investigator moderators	Method
method:semi-structured-interview	Semi-structured roundtable discussion with eight predetermined discussion questions	Method
method:semi-structured-interview	Semi-structured, face-to-face qualitative interviews	Method
method:semi-structured-interview	semistructured interviews	Method
method:semi-structured-interview	semistructured qualitative interview with topic guide	Method
method:semi-structured-interview	semistructured, face-to-face, one-on-one interviews	Method
method:sensitivity-analysis	Leave-one-out sensitivity analysis	Method
method:sensitivity-analysis	Matching of 'comparable' health states across EQ-5D-5L levels and PROMIS-29 + 2 domain sum raw scores (and T-score cut points in sensitivity analysis)	Method
method:sensitivity-analysis	one-way deterministic sensitivity analysis (parameters varied within 95% confidence interval or by +/-50%)	Method
method:sensitivity-analysis	Sensitivity analyses (4 sets of models excluding inconsistent and/or flagged observations)	Method
method:sensitivity-analysis	Sensitivity analyses (exclusion of non-traders, flat-liners, short/long response times, mild-mild pairs)	Method
method:sensitivity-analysis	Sensitivity analyses excluding non-traders or respondents outside the 10th–90th survey-time percentiles	Method
method:sensitivity-analysis	sensitivity analyses using alternative response-time exclusion thresholds (10 and 15 seconds)	Method
method:sensitivity-analysis	Sensitivity analysis by educational attainment subgroups	Method
method:sensitivity-analysis	sensitivity analysis by level of decision difficulty	Method
method:sensitivity-analysis	sensitivity analysis by re-inclusion of participants' flagged health states	Method
method:sensitivity-analysis	sensitivity analysis by re-inclusion of the participants' flagged health states	Method
method:sensitivity-analysis	Sensitivity analysis of mean and effect size using a subsample	Method
method:sensitivity-analysis	Sensitivity analysis on the cutoff for timing and number of inconsistencies	Method
method:sensitivity-analysis	sensitivity analysis re-including feedback-module flagged responses	Method
method:severity-stratified-dce-design	severity-stratified design restriction (21 severity strata candidate sets)	Method
method:severity-stratified-dce-design	severity-stratified designs	Method
method:sg	standard gamble	Method
method:sg	Standard gamble (SG)	Method
method:sg	standard gamble (SG)	Method
method:shannons-evenness-index-j	Shannon Evenness index (J')	Method
method:shannons-evenness-index-j	Shannon Evenness index (Jʹ)	Method
method:shannons-evenness-index-j	Shannon Evenness Index (J′)	Method
method:shannons-evenness-index-j	Shannon evenness index (J′)	Method
method:shannons-evenness-index-j	Shannon's Evenness Index (J')	Method
method:shannons-evenness-index-j	Shannon's J′ index (relative informativity/evenness)	Method
method:shannons-index-h	Shannon index (H')	Method
method:shannons-index-h	Shannon index (Hʹ)	Method
method:shannons-index-h	Shannon Index (H′)	Method
method:shannons-index-h	Shannon index (H′)	Method
method:shannons-index-h	Shannon's H′ index (absolute informativity)	Method
method:shannons-index-h	Shannon's Index (H')	Method
method:shapley-decomposition	Shapley decomposition method	Method
method:shapley-decomposition	Shorrocks-Shapley decomposition analysis	Method
method:simple-random-sampling	Random sampling from the National Population Registry	Method
method:simple-random-sampling	Simple random sampling techniques (class and student selection)	Method
method:snowball-sampling	search engines and snowballing	Method
method:snowball-sampling	Snowball approach	Method
method:snowball-sampling	Snowball sampling approach facilitated by local neighborhood committees	Method
method:sorting-tasks	Response option ordering exercise based on a card-sorting exercise	Method
method:sorting-tasks	response option sorting tasks for the frequency, severity and difficulty scales	Method
method:sorting-tasks	Sorting task	Method
method:spearman-rank-correlation	Spearman correlation	Method
method:spearman-rank-correlation	Spearman correlation analysis	Method
method:spearman-rank-correlation	Spearman correlation coefficient	Method
method:spearman-rank-correlation	Spearman correlation for convergent validity	Method
method:spearman-rank-correlation	Spearman correlations	Method
method:spearman-rank-correlation	Spearman correlations (rs)	Method
method:spearman-rank-correlation	Spearman rank correlation	Method
method:spearman-rank-correlation	Spearman rank correlation coefficient	Method
method:spearman-rank-correlation	Spearman rank correlation indices (multicollinearity assessment)	Method
method:spearman-rank-correlation	Spearman rank correlations	Method
method:spearman-rank-correlation	Spearman rank order correlation	Method
method:spearman-rank-correlation	Spearman rank-order coefficients	Method
method:spearman-rank-correlation	Spearman rank-order correlation	Method
method:spearman-rank-correlation	Spearman's correlation	Method
method:spearman-rank-correlation	Spearman's correlation coefficient	Method
method:spearman-rank-correlation	Spearman's correlation coefficients	Method
method:spearman-rank-correlation	Spearman's correlations	Method
method:spearman-rank-correlation	Spearman's rank correlation coefficient	Method
method:spearman-rank-correlation	Spearman's rank correlation coefficient (ρ)	Method
method:spearman-rank-correlation	Spearman's rank correlation coefficients	Method
method:spearman-rank-correlation	Spearman's rank order correlations	Method
method:spearman-rank-correlation	Spearman's rank-order correlation	Method
method:spearman-rank-correlation	Spearman's rank-order correlations	Method
method:spearman-rank-correlation	Spearman's rho	Method
method:spearman-rank-correlation	Spearman's Rho correlation coefficient	Method
method:spearman-rank-correlation	Spearman’s correlation coefficients	Method
method:spearman-rank-correlation	Spearman’s correlations	Method
method:spearman-rank-correlation	Spearman’s rank correlation	Method
method:spearman-rank-correlation	Spearman’s rank correlation coefficient (rho, ρ)	Method
method:spearman-rank-correlation	Spearman’s rank correlation coefficients	Method
method:spearman-rank-correlation	Spearman’s rank correlations	Method
method:spearman-rank-correlation	Spearman’s rho	Method
method:standard-error-of-measurement	Standard Error of Measurement (SEM)	Method
method:standardized-effect-size	Effect size (ES)	Method
method:standardized-effect-size	effect size (ES)	Method
method:standardized-effect-size	Effect size of change (average change score divided by baseline standard deviation)	Method
method:standardized-effect-size	Effect size of change (mean change divided by baseline standard deviation)	Method
method:standardized-effect-size	effect size of change calculated as average change score divided by baseline score standard deviation	Method
method:standardized-effect-size	effect size of the change	Method
method:standardized-effect-size	Responsiveness assessment using standardised effect size (SES, difference of mean/baseline SD)	Method
method:standardized-effect-size	standardised effect sizes (SES)	Method
method:standardized-effect-size	Standardized effect size (ES)	Method
method:standardized-effect-size	Standardized effect size (SES)	Method
method:standardized-effect-size	standardized effect size (SES)	Method
method:standardized-effect-size	Standardized effect size (SES) (difference of mean/baseline SD)	Method
method:standardized-mean-difference	Absolute standardized mean differences (SMD)	Method
method:standardized-response-mean	Responsiveness analysis using the standardized response mean (SRM)	Method
method:standardized-response-mean	Standard response mean (SRM)	Method
method:standardized-response-mean	Standardised response mean (SRM)	Method
method:standardized-response-mean	standardised response mean (SRM)	Method
method:standardized-response-mean	Standardised Response Mean (SRM) effect size statistic	Method
method:standardized-response-mean	standardised response means (SRM)	Method
method:standardized-response-mean	standardised response means (SRM) with 95% confidence intervals	Method
method:standardized-response-mean	Standardized response mean (SRM)	Method
method:standardized-response-mean	standardized response mean (SRM)	Method
method:standardized-response-mean	Standardized response means (SRM)	Method
method:standardized-response-mean	standardized response means (SRM)	Method
method:stratified-sampling	stratified sampling (age, gender, education)	Method
method:stratified-sampling	stratified sampling approach (by gender, age group, state/territory, 2021 Australian Census)	Method
method:stratified-sampling	stratified sampling by domain and severity of EQ-5D-5L health problems from a marketing panel (Survey Sampling International)	Method
method:stratified-sampling	Stratified sampling of ED patients registered in DISS for follow-up	Method
method:stratified-sampling	Stratified sampling of LIS patients for follow-up questionnaires	Method
method:stratified-sampling	two-stage stratified random sampling using the 2021 Population and Housing Census sampling frame	Method
method:subgroup-analysis	Subgroup analyses by age group, study design, timing of measurement, geographical region, income status and EQ-5D version	Method
method:subgroup-analysis	Subgroup analysis when at least three studies represented a relevant subgroup	Method
method:survey-weighting	survey weights	Method
method:survival-analysis	Survival analysis (time to deterioration)	Method
method:swing-weighting	swing-weighting (Multi-Criteria Decision Analysis)	Method
method:systematic-literature-review	systematic literature review of EQ-5D valuation studies [15]	Method
method:systematic-random-sampling	Systematic random sampling of 20 households per PSU	Method
method:t-test	Student t tests	Method
method:t-test	Student's t test	Method
method:t-test	Student's t tests	Method
method:t-test	Student's t-test	Method
method:t-test	t test	Method
method:t-test	t tests for mean values	Method
method:t-test	T-tests	Method
method:t-test	t-tests	Method
method:test-retest-reliability-analysis	Test–retest reliability (agreement on dimension-level responses between initial and two-day re-test survey)	Method
method:test-retest-reliability-analysis	Test-retest reliability (repeat completion 10 days after first completion)	Method
method:test-retest-reliability-analysis	test-retest reliability assessment (agreement between original answer and retest)	Method
method:test-retest-reliability-analysis	Test–retest reliability assessment using the 2-day follow-up subset	Method
method:tetrachoric-correlation	tetrachoric correlations	Method
method:thematic-analysis	Thematic analysis (Braun and Clarke)	Method
method:thematic-analysis	thematic analysis (deductive and inductive coding)	Method
method:thematic-analysis	Thematic analysis (guidelines of Braun and Clarke)	Method
method:thematic-analysis	thematic analysis (qualitative interpretive approach, blending deductive parent codes and inductive in-vivo child codes)	Method
method:thematic-analysis	thematic analysis following Braun and Clarke's six-phase framework	Method
method:thematic-analysis	thematic analysis following Braun and Clarke’s six-phase framework	Method
method:thematic-analysis	Thematic analysis following the six-phase process outlined by Braun and Clark	Method
method:thematic-analysis	Thematic analysis with narrative summary of open-ended responses	Method
method:thematic-content-analysis	Thematic content analysis guided by an a priori framework (comprehensiveness, relevance, comprehensibility) with an Excel-based data extraction matrix	Method
method:think-aloud	'think-aloud'	Method
method:think-aloud	One-to-one 'think aloud' semi-structured interviews (extended cognitive debrief)	Method
method:think-aloud	think-aloud	Method
method:think-aloud	think-aloud protocol	Method
method:think-aloud	Think-aloud protocol (concurrent verbalization)	Method
method:three-stage-probability-sampling	three-stage probability sampling procedure stratified by region and settlement size	Method
method:top-down-titration	top-down titration search procedure (Oppe et al., 2014)	Method
method:tost-equivalence-test	Two One-Sided Tests (TOST) equivalence testing procedure	Method
method:transformed-level-sum-score	Transformed EQ-5D-5L level sum score (tLSS) = 100 − [(EQ-5D-5L level sum score − 5) x 5]	Method
method:transformed-level-sum-score	transformed Level Sum Score (tLSS, LSS transformed to a 0–1 scale)	Method
method:tto	original time trade-off (TTO)	Method
method:tto	time trade-off	Method
method:tto	Time Trade-Off (TTO)	Method
method:tto	Time Trade-off (TTO)	Method
method:tto	Time trade-off (TTO)	Method
method:tto	time trade-off (TTO)	Method
method:tto	Time Trade-off (TTO) method	Method
method:tto	Time Trade-off (TTO), simplified downward titration implementation	Method
method:tto	time tradeoff	Method
method:tto	Time tradeoff (TTO)	Method
method:tto	TTO-type tasks (10 years in a health state versus dying now)	Method
method:tukey-hsd-test	Tukey's Honestly Significant Difference (HSD) test	Method
method:tukey-hsd-test	Tukey's honestly significant difference post hoc test	Method
method:unstratified-efficient-dce-design	unstratified efficient designs	Method
method:variance-inflation-factor	Variance inflation factor check for multicollinearity	Method
method:vas	visual analog scale	Method
method:vas	Visual analog scale (VAS)	Method
method:vas	visual analog scale (VAS)	Method
method:vas	visual analogue scale	Method
method:vas	Visual Analogue Scale (VAS)	Method
method:vas	Visual analogue scale (VAS)	Method
method:vas	visual analogue scale (VAS)	Method
method:vas	visual analogue scale (VAS) task (100 = best imaginable health, 0 = worst imaginable health)	Method
method:vignette-based-health-state-valuation	Vignette-based health state valuation	Method
method:wald-test	Wald test (pseudo-score test)	Method
method:welch-anova	Welch’s ANOVA	Method
method:welch-t-test	unequal variance unpaired t-test	Method
method:welch-t-test	Welch's t-test	Method
method:welch-t-test	Welch's unequal variances t-test	Method
method:welch-t-test	Welch’s t-test	Method
method:wilcoxon-signed-rank-test	non-parametric Wilcoxon signed-rank test	Method
method:wilcoxon-signed-rank-test	paired Wilcoxon tests	Method
method:wilcoxon-signed-rank-test	signed-rank tests	Method
method:wilcoxon-signed-rank-test	Wilcoxon signed rank test	Method
method:wilcoxon-signed-rank-test	Wilcoxon Signed Rank Test for paired samples	Method
method:wilcoxon-signed-rank-test	Wilcoxon signed rank test with continuity correction	Method
method:wilcoxon-signed-rank-test	Wilcoxon signed-rank order test	Method
method:wilcoxon-signed-rank-test	Wilcoxon signed-rank tests	Method
method:wilcoxon-signed-rank-test	Wilcoxon tests	Method
method:z-test	general z test	Method
method:z-test	z test	Method
method:z-test	z-test for group differences in EQ-5D-3L domains and index values	Method
method:z-test	z-tests of differences between mean coefficient estimates	Method
model:add20	20-coefficients additive model (ADD20)	Model
model:add20	ADD20 (conventional 20-parameter main-effects-only tobit model)	Model
model:add20	ADD20 Tobit regression specification	Model
model:add20-i	ADD20-I (20-parameter model with two-way interaction terms)	Model
model:add20-i	ADD20-I model accounting for heteroskedasticity	Model
model:add20-i	ADD20-I Tobit regression specification	Model
model:add20-p	ADD20-P (20-parameter model with a power function)	Model
model:add20-p	ADD20-P Tobit regression specification	Model
model:additive-main-effects	additive model for deriving health state utility values	Model
model:additive-main-effects	conventional main-effects model (additive model specification)	Model
model:ancova	analysis of covariance (ANCOVA)	Model
model:ancova	Analysis of covariance (ANCOVA) of mean EQ VAS score by sex adjusted for age	Model
model:attribute-non-attendance	Attribute non-attendance models	Model
model:bansback-dce-duration-interaction	Bansback et al. model (time as an interaction)	Model
model:bivariate-linear-regression	Bivariate linear regression	Model
model:cale	CALE (eight-parameter cross-attribute level effects model)	Model
model:cale	CALE Tobit regression specification	Model
model:cale	cross-attribute level effects (CALE) model	Model
model:cale	cross-attribute level effects (CALE) model (8-parameter specification)	Model
model:cale-i	CALE-I (CALE model with two-way interaction terms)	Model
model:cale-i	CALE-I Tobit regression specification	Model
model:cale-p	CALE-P (CALE model with a power function)	Model
model:cale-p	CALE-P Tobit regression specification	Model
model:cnf-p015-heteroskedastic-interaction	heteroskedastic logit with task-type interaction (PC and BWS values)	Model
model:cnf-p015-heteroskedastic-interaction	interaction model (controlling heteroskedasticity)	Model
model:conditional-logit	conditional logistic regression model	Model
model:conditional-logit	Conditional logistic regression model (DCE)	Model
model:conditional-logit	conditional logistic regression models	Model
model:conditional-logit	conditional logit	Model
model:conditional-logit	conditional logit (CL) model	Model
model:conditional-logit	Conditional logit (CL) model estimated by maximum likelihood	Model
model:conditional-logit	conditional logit model (CLOGIT)	Model
model:conditional-logit	conditional logit model (DCE)	Model
model:conditional-logit	conditional logit model (initial estimates for design priors)	Model
model:conditional-logit	Conditional logit model (main-effects value function with dummy variables for attribute levels)	Model
model:conditional-logit	Conditional logit model for DCE data	Model
model:conditional-logit	conditional logit model for DCE data	Model
model:conditional-logit	Conditional logit model for DCE data (Model 2)	Model
model:conditional-logit	conditional logit models	Model
model:conditional-logit	Logit model (DCE)	Model
model:conditional-logit	main-effects conditional logit model	Model
model:conditional-logit	Main-effects conditional logit model estimated by maximum likelihood	Model
model:conditional-logit	McFadden conditional logit model	Model
model:conditional-logit	multinomial logit (MNL)	Model
model:conditional-logit	Multinomial logit (MNL) model	Model
model:conditional-logit	multinomial logit model	Model
model:conditional-logit	regular conditional logit model	Model
model:conditional-logit	standard multinomial logit (conditional logit)	Model
model:confirmatory-factor-analysis	confirmatory factor analysis (CFA)	Model
model:decision-tree	Decision tree models	Model
model:dominant-decision-making	Dominant decision-making models	Model
model:double-monotonicity	double monotonicity model (DMM)	Model
model:double-monotonicity	Double monotonicity model (DMM), polytomous	Model
model:eq-5d-5l-to-3l-crosswalk-2012	recommended mapping function for mapping EQ-5D-5L health states to EQ-5D-3L health states (van Hout et al., interim scoring for the EQ-5D-5L)	Model
model:eq-5d-y-3l-cn-hybrid-a3	hybrid model with A3 term	Model
model:eq-5d-y-3l-cn-hybrid-a3	Hybrid model with the A3 term (DCE and cTTO data modelled jointly)	Model
model:equality-constrained-latent-class	Equality constrained latent class (ECLC) model	Model
model:exploratory-factor-analysis	exploratory factor analysis (EFA)	Model
model:exponential-discount-function	exponential discount function estimated by non-linear least squares	Model
model:exponential-discount-function	exponential discount function for the net present value of life years	Model
model:fixed-effects	Fixed effects models for unobserved confounding	Model
model:fixed-effects-logistic	Fixed-effect logistic model	Model
model:franks-low-income-sf12-eq5d-mapping	Direct-mapping function a. (Franks et al., low-income minority sample; OLS with centered PCS, MCS and interaction)	Model
model:franks-sf12-eq5d-mapping	Direct-mapping function b. (Franks et al.; OLS with PCS, MCS and interaction terms)	Model
model:gamma-log-glm	Gamma distribution with a log-link generalised linear regression model (gamma-log generalised multivariate linear regression)	Model
model:gamma-log-glm	generalized linear regression model with gamma distribution and log link	Model
model:garbage-class-mixed-logit	Garbage class mixed logit model	Model
model:generalized-estimating-equations	Generalized estimating equations models	Model
model:generalized-least-squares	general least square (GLS)	Model
model:generalized-least-squares	General least square (GLS) regression	Model
model:generalized-least-squares	generalized least square (GLS) model for c-TTO data	Model
model:generalized-linear	Generalised linear models for EQ-5D-5L value scores	Model
model:generalized-linear	generalized linear models	Model
model:graded-response	Graded response model (GRM)	Model
model:gray-items-sf12-eq5d-mapping	Response-mapping function e. (Gray et al.; multinomial logit on individual SF-12 questions)	Model
model:gray-summary-sf12-eq5d-mapping	Response-mapping function d. (Gray et al.; multinomial logit on SF-12 summary scores)	Model
model:hernandez-alava-pudney-5l-to-3l-mapping	EQ-5D-5L to EQ-5D-3L mapping algorithm (age- and gender-specific, Hernández-Alava and Pudney)	Model
model:heteroskedastic-conditional-logit	heteroscedastic conditional logit model	Model
model:heteroskedastic-conditional-logit	heteroskedastic conditional logit (HCL) model	Model
model:heteroskedastic-conditional-logit	heteroskedastic conditional logit model (scale parameters gamma and theta)	Model
model:heteroskedastic-salc	heteroskedastic scale-adjusted latent class (SALC) logit model	Model
model:heteroskedastic-salc	heteroskedastic scale-adjusted latent class (SALC) model	Model
model:heteroskedastic-tobit	Heteroscedastic Tobit model (hetTobit, C-TTO)	Model
model:heteroskedastic-tobit	heteroscedastic tobit model with censoring at -1	Model
model:heteroskedastic-tobit	heteroskedastic Tobit model (cTTO data)	Model
model:heteroskedastic-tobit	heteroskedastic Tobit model (cTTO only)	Model
model:heteroskedastic-tobit	heteroskedastic Tobit model (cTTO)	Model
model:heteroskedastic-tobit	Tobit model correcting for heteroskedasticity without an intercept for cTTO data	Model
model:heteroskedastic-tobit	Tobit model for cTTO values with censoring at −1 and correction for heteroscedasticity	Model
model:heteroskedastic-tobit	Tobit model with conditional heteroscedasticity, censoring at −2 disutility	Model
model:hybrid-ctto-dce-left-censored-minus-1	hybrid model assuming left-censoring of the C-TTO at -1 excluding heteroscedasticity and constant	Model
model:hybrid-ctto-dce-left-censored-minus-1	Hybrid-Tobit model with C-TTO values censored at -1, without heteroscedasticity and constant	Model
model:hybrid-heteroskedastic-tobit-model	Censored hybrid heteroscedastic model	Model
model:hybrid-heteroskedastic-tobit-model	hybrid heteroskedastic Tobit model (cTTO and DCE data combined)	Model
model:hybrid-heteroskedastic-tobit-model	hybrid heteroskedastic Tobit model (Model 3, combined cTTO and DCE)	Model
model:hybrid-heteroskedastic-tobit-model	Hybrid model correcting for heteroskedasticity and using a tobit link with censoring at −1 for cTTO data	Model
model:hybrid-heteroskedastic-tobit-model	hybrid Tobit heteroscedastic model	Model
model:hybrid-model	hybrid model combining c-TTO and DCE data	Model
model:hybrid-model	hybrid model combining C-TTO and DCE data (Oppe and van Hout)	Model
model:hybrid-model	Hybrid model combining cTTO and DCE data	Model
model:hybrid-model	Hybrid model combining cTTO and DCE likelihoods (Model 3a)	Model
model:hybrid-model	hybrid model combining cTTO and DCE responses	Model
model:hybrid-tobit-model	Hybrid model with a tobit link for cTTO data, with censoring at −1	Model
model:hybrid-tobit-model	Regular censored hybrid model (Hybrid model)	Model
model:interval-regression	interval regression	Model
model:interval-regression	interval regression model (IRM)	Model
model:item-level-linear-regression-eq-vas	item-level linear regression analyses using EQ VAS as the outcome and incremental decrements in each item as predictors	Model
model:item-level-linear-regression-eq-vas	Linear regression of EQ VAS on binary indicators of incremental item severity decrements (item-level)	Model
model:k-nearest-neighbors	K-nearest Neighbors (KNN)	Model
model:latent-class	Latent class model	Model
model:latent-class	latent class model (latent class conditional logit)	Model
model:lawrence-fleishman-sf12-eq5d-mapping	Direct-mapping function c. (Lawrence and Fleishman; OLS with PCS and MCS only)	Model
model:linear-mapping	linear mapping	Model
model:linear-mapping-no-intercept	linear mapping (no constant)	Model
model:linear-mapping-no-intercept	linear mapping function without a constant	Model
model:linear-mapping-no-intercept	linear mapping without intercept	Model
model:linear-mapping-with-intercept	linear mapping model with a constant	Model
model:linear-mapping-with-intercept	linear mapping with intercept	Model
model:linear-mixed-effects	Linear mixed effects models	Model
model:linear-mixed-effects	Linear mixed-effect model (multilevel or hierarchical model)	Model
model:linear-regression	Linear regression models	Model
model:logistic-regression	logistic regression models	Model
model:logistic-regression	Logit regression	Model
model:logistic-regression	Multiple logistic regression analysis	Model
model:markov	Markov models	Model
model:mixed-logit	mixed (random coefficients) logit model	Model
model:mixed-logit	mixed logit	Model
model:mixed-logit	mixed logit (MIXL) with correlated parameters	Model
model:mixed-logit	mixed logit model (model 1)	Model
model:mixed-logit	mixed logit model (panel mixed logit)	Model
model:mixed-logit	mixed-logit model	Model
model:mixed-logit	random coefficient mixed logit model	Model
model:mixed-logit-correlated-random-scale-rate	bivariate mixed logit model (correlated random scale and rate)	Model
model:mixed-logit-exponential-discounting	mixed logit model with exponential discounting (nonlinear time preferences)	Model
model:mixed-logit-exponential-discounting	mixed logit model with nonlinear time preferences and exponential discount rate (specification 2 of Jonker et al)	Model
model:mixed-logit-linear-time-preferences	mixed logit model with linear time preferences (specification 1 of Jonker et al)	Model
model:mixed-logit-linear-time-preferences	mixed logit model without discounting (ρ = 0, linear time preferences)	Model
model:mixed-logit-random-rate	mixed logit model with random rate (univariate)	Model
model:mixed-logit-random-scale	mixed logit model with random scale (univariate)	Model
